series_id,series_name,year,period,period_name,value,latest
CES6562310003,Avg Hourly Earnings,2022,M03,March,24.17,False
CES6562310003,Avg Hourly Earnings,2022,M02,February,24.03,False
CES6562310003,Avg Hourly Earnings,2022,M01,January,23.9,False
CES6562310003,Avg Hourly Earnings,2021,M12,December,23.61,False
CES6562310003,Avg Hourly Earnings,2021,M11,November,23.31,False
CES6562310003,Avg Hourly Earnings,2021,M10,October,23.25,False
CES6562310003,Avg Hourly Earnings,2021,M09,September,23.02,False
CES6562310003,Avg Hourly Earnings,2021,M08,August,22.71,False
CES6562310003,Avg Hourly Earnings,2021,M07,July,22.49,False
CES6562310003,Avg Hourly Earnings,2021,M06,June,22.24,False
CES6562310003,Avg Hourly Earnings,2021,M05,May,22.1,False
CES6562310003,Avg Hourly Earnings,2021,M04,April,21.94,False
CES6562310003,Avg Hourly Earnings,2021,M03,March,21.66,False
CES6562310003,Avg Hourly Earnings,2021,M02,February,21.82,False
CES6562310003,Avg Hourly Earnings,2021,M01,January,21.82,False
CES6562310003,Avg Hourly Earnings,2020,M12,December,21.88,False
CES6562310003,Avg Hourly Earnings,2020,M11,November,21.66,False
CES6562310003,Avg Hourly Earnings,2020,M10,October,21.51,False
CES6562310003,Avg Hourly Earnings,2020,M09,September,21.33,False
CES6562310003,Avg Hourly Earnings,2020,M08,August,21.35,False
CES6562310003,Avg Hourly Earnings,2020,M07,July,21.19,False
CES6562310003,Avg Hourly Earnings,2020,M06,June,21.26,False
CES6562310003,Avg Hourly Earnings,2020,M05,May,21.21,False
CES6562310003,Avg Hourly Earnings,2020,M04,April,20.84,False
CES6562310003,Avg Hourly Earnings,2020,M03,March,20.36,False
CES6562310003,Avg Hourly Earnings,2020,M02,February,20.24,False
CES6562310003,Avg Hourly Earnings,2020,M01,January,20.14,False
CES6562310006,Avg Weekly Hours,2024,M12,December,1352.3,False
CES6562310006,Avg Weekly Hours,2024,M11,November,1346.0,False
CES6562310006,Avg Weekly Hours,2024,M10,October,1336.6,False
CES6562310006,Avg Weekly Hours,2024,M09,September,1332.5,False
CES6562310006,Avg Weekly Hours,2024,M08,August,1328.4,False
CES6562310006,Avg Weekly Hours,2024,M07,July,1327.1,False
CES6562310006,Avg Weekly Hours,2024,M06,June,1324.8,False
CES6562310006,Avg Weekly Hours,2024,M05,May,1321.8,False
CES6562310006,Avg Weekly Hours,2024,M04,April,1320.2,False
CES6562310006,Avg Weekly Hours,2024,M03,March,1314.6,False
CES6562310006,Avg Weekly Hours,2024,M02,February,1304.7,False
CES6562310006,Avg Weekly Hours,2024,M01,January,1300.3,False
CES6562310006,Avg Weekly Hours,2023,M12,December,1294.2,False
CES6562310006,Avg Weekly Hours,2023,M11,November,1291.0,False
CES6562310006,Avg Weekly Hours,2023,M10,October,1283.4,False
CES6562310006,Avg Weekly Hours,2023,M09,September,1279.4,False
CES6562310006,Avg Weekly Hours,2023,M08,August,1274.6,False
CES6562310006,Avg Weekly Hours,2023,M07,July,1264.0,False
CES6562310006,Avg Weekly Hours,2023,M06,June,1255.3,False
CES6562310006,Avg Weekly Hours,2023,M05,May,1246.5,False
CES6562310006,Avg Weekly Hours,2023,M04,April,1242.2,False
CES6562310006,Avg Weekly Hours,2023,M03,March,1238.5,False
CES6562310006,Avg Weekly Hours,2023,M02,February,1234.5,False
CES6562310006,Avg Weekly Hours,2023,M01,January,1228.5,False
CES6562310006,Avg Weekly Hours,2022,M12,December,1224.3,False
CES6562310006,Avg Weekly Hours,2022,M11,November,1218.0,False
CES6562310006,Avg Weekly Hours,2022,M10,October,1213.9,False
CES6562310006,Avg Weekly Hours,2022,M09,September,1206.4,False
CES6562310006,Avg Weekly Hours,2022,M08,August,1203.7,False
CES6562310006,Avg Weekly Hours,2022,M07,July,1199.2,False
